seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
0,True,12,3.0,0.0,0.25,0.0,0.0,1.0,12.0,0.0,False,True,12,3.0,0.0,0.25,0.0,0.0,1.0,12.0,0.0,False,0.0,0.0,0.0
1,True,10,1.0,2.138465791940689,0.1,0.2138465791940689,0.0,0.0,10.0,0.0,False,True,10,0.0,0.8877124190330505,0.0,0.08877124190330506,0.0,0.0,10.0,0.0,False,0.1,0.12507533729076387,0.0
2,True,12,3.0,0.0,0.25,0.0,0.0,1.0,12.0,0.0,False,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,1.0,12.0,0.0,False,0.08333333333333334,0.0,0.0
3,True,14,0.0,1.7305955588817596,0.0,0.12361396849155426,0.0,0.0,14.0,0.0,False,True,14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,True,0.0,0.12361396849155426,0.0
4,True,14,2.0,1.755947321653366,0.14285714285714285,0.12542480868952616,0.0,0.0,14.0,0.0,False,True,14,2.0,0.6456745862960815,0.14285714285714285,0.04611961330686297,0.0,0.0,14.0,0.0,False,0.0,0.07930519538266319,0.0
5,True,13,3.0,2.160912334918976,0.23076923076923078,0.16622402576299813,0.0,1.0,13.0,0.0,False,True,13,1.0,0.0,0.07692307692307693,0.0,0.0,1.0,13.0,0.0,True,0.15384615384615385,0.16622402576299813,0.0
6,True,12,2.0,1.8833839893341064,0.16666666666666666,0.1569486657778422,0.0,1.0,12.0,0.0,False,True,12,1.0,0.7513982355594637,0.08333333333333333,0.0626165196299553,0.0,1.0,12.0,0.0,False,0.08333333333333333,0.09433214614788689,0.0
7,True,12,2.0,1.8522509336471558,0.16666666666666666,0.1543542444705963,0.0,1.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,1.0,12.0,0.0,True,0.08333333333333333,0.1543542444705963,0.0
8,True,13,2.0,0.0,0.15384615384615385,0.0,0.0,1.0,13.0,0.0,False,True,13,3.0,0.0,0.23076923076923078,0.0,0.0,1.0,13.0,0.0,False,-0.07692307692307693,0.0,0.0
9,True,13,6.0,0.0,0.46153846153846156,0.0,0.0,2.0,13.0,0.0,False,True,13,3.0,0.0,0.23076923076923078,0.0,0.0,2.0,13.0,0.0,False,0.23076923076923078,0.0,0.0
10,True,11,2.0,0.0,0.18181818181818182,0.0,0.0,0.0,11.0,0.0,False,True,11,0.0,0.4345757365226746,0.0,0.039506885138424964,0.0,0.0,11.0,0.0,True,0.18181818181818182,-0.039506885138424964,0.0
11,True,11,4.0,0.0,0.36363636363636365,0.0,0.0,0.0,11.0,0.0,False,True,11,0.0,0.3456315994262696,0.0,0.03142105449329723,0.0,0.0,11.0,0.0,True,0.36363636363636365,-0.03142105449329723,0.0
12,True,11,3.0,1.197423130273819,0.2727272727272727,0.10885664820671082,0.0,0.0,11.0,0.0,False,True,11,1.0,0.8540942370891571,0.09090909090909091,0.07764493064446883,0.0,0.0,11.0,0.0,False,0.1818181818181818,0.03121171756224199,0.0
13,True,12,0.0,1.4645122289657593,0.0,0.1220426857471466,0.0,0.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,12.0,0.0,True,-0.08333333333333333,0.1220426857471466,0.0
14,True,11,1.0,2.4854990243911743,0.09090909090909091,0.22595445676283402,0.0,1.0,11.0,0.0,False,True,11,2.0,0.3262006342411042,0.18181818181818182,0.02965460311282765,0.0,1.0,11.0,0.0,False,-0.09090909090909091,0.19629985365000635,0.0
15,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,12.0,0.0,True,0.08333333333333333,0.0,0.0
16,True,13,1.0,1.4214163422584536,0.07692307692307693,0.10933971863526566,0.0,0.0,13.0,0.0,False,True,13,1.0,2.1060890853405,0.07692307692307693,0.1620068527185,0.0,0.0,13.0,0.0,False,0.0,-0.05266713408323433,0.0
17,True,11,1.0,1.2193958163261414,0.09090909090909091,0.1108541651205583,0.7902752459049225,1.0,11.0,0.0,False,True,11,2.0,0.9008645117282867,0.18181818181818182,0.0818967737934806,0.7902752459049225,1.0,11.0,0.0,False,-0.09090909090909091,0.028957391327077697,0.0
18,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,12.0,0.0,True,True,12,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,12.0,0.0,True,0.0,0.0,0.0
