metric,window,count,mean,median,p10,p90,min,max
approx_kl,reward_early,50.0,0.002975575613760875,0.0026933448259822195,0.0019088672041626914,0.004762364788183042,0.00161659880541265,0.005604677367955446
approx_kl,reward_tail,200.0,0.0026392025646627725,0.002362883599562338,0.0015001234434050869,0.004210797090343528,0.000510709823786535,0.007068594151254122
approx_kl,hyst_early,50.0,0.0029318815171905464,0.002761629145889957,0.001981145680183545,0.004050445832988425,0.0012016295388873135,0.0050266246291120415
approx_kl,hyst_tail,200.0,0.0024920118489038193,0.0023704091935152455,0.001449195402421386,0.0036790671504232137,0.00043016990933280723,0.006989443965721875
approx_kl,ratio_hyst_tail_over_reward_early_1_earlyEnd,,0.8374890012470992,0.8800986678899518,,,,
approx_kl,ratio_hyst_tail_over_hyst_early_1_earlyEnd,,0.8499701759066209,0.8583372597450488,,,,
clip_frac,reward_early,50.0,0.029843101824729993,0.02677260890151515,0.013831676136363637,0.05317708333333334,0.00859375,0.06787109375
clip_frac,reward_tail,200.0,0.014106059934443155,0.010868833161544227,0.002306073309312639,0.027992788461538454,0.0,0.10516826923076923
clip_frac,hyst_early,50.0,0.02951255606754793,0.02557091346153846,0.01496799914187643,0.048552525938735186,0.009207589285714286,0.05703125
clip_frac,hyst_tail,200.0,0.026584076278082902,0.023352363782051282,0.009743923611111111,0.045445312499999994,0.00048828125,0.108154296875
clip_frac,ratio_hyst_tail_over_reward_early_1_earlyEnd,,0.8907946779196242,0.8722483441174721,,,,
clip_frac,ratio_hyst_tail_over_hyst_early_1_earlyEnd,,0.900771733130727,0.9132393262828046,,,,
actor_param_delta_ratio,reward_early,50.0,0.018150243350975905,0.016473082870690804,0.010550259599160021,0.027550271174043763,0.003973484502406033,0.04920195044212288
actor_param_delta_ratio,reward_tail,200.0,0.01078498764009534,0.008847443568735774,0.005138690321321852,0.01929714322169688,0.003840889290926509,0.04204182179200127
actor_param_delta_ratio,hyst_early,50.0,0.01833035901628195,0.014955640609804503,0.011577126146018421,0.02871193542902432,0.008403752118686986,0.04920195044212288
actor_param_delta_ratio,hyst_tail,200.0,0.010264724839219417,0.009960545002692167,0.005300829379410851,0.015295342159746423,0.002331103106679384,0.027150864904383634
actor_param_delta_ratio,ratio_hyst_tail_over_reward_early_1_earlyEnd,,0.5655419952629728,0.6046557939931294,,,,
actor_param_delta_ratio,ratio_hyst_tail_over_hyst_early_1_earlyEnd,,0.5599849315609023,0.666005907908907,,,,
g_c_over_r,reward_early,50.0,0.0,0.0,0.0,0.0,0.0,0.0
g_c_over_r,reward_tail,200.0,0.0,0.0,0.0,0.0,0.0,0.0
g_c_over_r,hyst_early,50.0,0.11929571604645506,0.09659824020711172,0.05252435165098906,0.18924453293263915,0.0,0.5407828995044068
g_c_over_r,hyst_tail,200.0,0.5529398868325032,0.31503124321726605,0.07779725455283087,1.3409636402937795,0.016561516805658424,3.769922251609248
adv_penalty_to_reward_ratio,reward_early,50.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_penalty_to_reward_ratio,reward_tail,200.0,0.0,0.0,0.0,0.0,0.0,0.0
adv_penalty_to_reward_ratio,hyst_early,50.0,0.11152730215263333,0.10121854248812875,0.05720656921680881,0.18368807919668614,0.0,0.20002091982425987
adv_penalty_to_reward_ratio,hyst_tail,200.0,0.47203979086917064,0.44191769700477723,0.18669711676570686,0.7654587733939483,0.15801981821936492,1.0292146880033612
cos_total_r,reward_early,50.0,1.0000003318477217,1.0000002688131269,0.9999999469867122,1.0000007402361817,0.9999997990916979,1.000000874150668
cos_total_r,reward_tail,200.0,1.0000005786018864,1.0000001881123086,1.000000002749037,1.000001949992841,0.9999998067972857,1.000004886027936
cos_total_r,hyst_early,50.0,0.9921782383588554,0.9967474481975851,0.984585109441727,0.999108057620134,0.9076684288373429,1.0000001180362674
cos_total_r,hyst_tail,200.0,0.8662430021598343,0.9644095932785113,0.5545583270913197,0.9979169354438573,-0.3463655009892564,0.9998675537926184
cos_total_c,reward_early,50.0,0.0,0.0,0.0,0.0,0.0,0.0
cos_total_c,reward_tail,200.0,0.0,0.0,0.0,0.0,0.0,0.0
cos_total_c,hyst_early,50.0,0.36983322626774495,0.39882264363516434,-0.10647869216058105,0.7391116221340103,-0.46869640656812783,0.8964886694600158
cos_total_c,hyst_tail,200.0,0.3638927728733555,0.463483738971351,-0.34421808083036926,0.8717522261419387,-0.6838756935281396,0.977401682604101
