episode,seed,policy,success,feasible,total_reward,total_energy,total_load,gap_energy,gap_load,ep_len,map_hash
0,0,lagrange,False,False,-256.0,260.0,8.447434343397617,258.8,7.947434343397617,256,aa74fb6b7b9c44ffe6afa0679b28787a
0,0,reward_only,False,False,-256.0,280.0,132.61599693447351,278.8,132.11599693447351,256,aa74fb6b7b9c44ffe6afa0679b28787a
1,1,lagrange,True,False,16.0,6.0,0.0,4.8,-0.5,4,291ea0aca42a0f6d7e4525e5597afb70
1,1,reward_only,True,False,-74.0,164.0,87.79004234820604,162.8,87.29004234820604,94,291ea0aca42a0f6d7e4525e5597afb70
2,2,lagrange,False,False,-256.0,256.0,0.0,254.8,-0.5,256,388a28a35811138125f5fadcfe62a1ca
2,2,reward_only,True,False,-110.0,168.0,0.18271585926413536,166.8,-0.31728414073586464,130,388a28a35811138125f5fadcfe62a1ca
3,3,lagrange,False,False,-256.0,258.0,0.0,256.8,-0.5,256,43bdacbca851c9d2ed8bf8888c630ba5
3,3,reward_only,True,False,-192.0,286.0,229.7025365009904,284.8,229.2025365009904,212,43bdacbca851c9d2ed8bf8888c630ba5
4,4,lagrange,False,False,-256.0,256.0,56.74362529069185,254.8,56.24362529069185,256,2324aba215e99e8857b20fede3ae21d2
4,4,reward_only,False,False,-256.0,350.0,19.11953754723072,348.8,18.61953754723072,256,2324aba215e99e8857b20fede3ae21d2
5,5,lagrange,False,False,-256.0,508.0,2.485862150788307,506.8,1.9858621507883072,256,4be2581454e6023b147caf67db5bb879
5,5,reward_only,True,False,13.0,9.0,8.746624439954758,7.8,8.246624439954758,7,4be2581454e6023b147caf67db5bb879
6,6,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,9e11dcfee96d71a83e17e4acc608a9a6
6,6,reward_only,True,False,-48.0,96.0,12.294193170964718,94.8,11.794193170964718,68,9e11dcfee96d71a83e17e4acc608a9a6
7,7,lagrange,False,False,-256.0,256.0,11.943598315119743,254.8,11.443598315119743,256,8de73b82f5896bed1a46a4154730d03e
7,7,reward_only,False,False,-256.0,386.0,257.67466858029366,384.8,257.17466858029366,256,8de73b82f5896bed1a46a4154730d03e
8,8,lagrange,False,False,-256.0,260.0,7.407337725162506,258.8,6.907337725162506,256,b5bcdd54c0e151bff14f1b25ca16ba68
8,8,reward_only,True,False,-1.0,21.0,1.1941394209861755,19.8,0.6941394209861755,21,b5bcdd54c0e151bff14f1b25ca16ba68
9,9,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,cc8fb828514dbce6fdc748d67afa3d70
9,9,reward_only,True,False,19.0,3.0,0.0,1.8,-0.5,1,cc8fb828514dbce6fdc748d67afa3d70
10,10,lagrange,False,False,-256.0,256.0,0.0,254.8,-0.5,256,ff50eca77e5ce6c141c755b10e4d18a8
10,10,reward_only,True,False,11.0,9.0,1.7179687321186066,7.8,1.2179687321186066,9,ff50eca77e5ce6c141c755b10e4d18a8
11,11,lagrange,True,False,15.0,9.0,0.0,7.8,-0.5,5,7ebd4a237365f98254333df995b77fcb
11,11,reward_only,True,False,-7.0,47.0,7.086686491966248,45.8,6.586686491966248,27,7ebd4a237365f98254333df995b77fcb
12,12,lagrange,False,False,-256.0,510.0,1.2779052555561066,508.8,0.7779052555561066,256,190f0614caf5069b8bf733a5ff8ed34e
12,12,reward_only,True,False,-69.0,111.0,70.12904229573905,109.8,69.62904229573905,89,190f0614caf5069b8bf733a5ff8ed34e
13,13,lagrange,True,False,17.0,5.0,0.0,3.8,-0.5,3,b9e17ded3d59f4b7536754b67db7411c
13,13,reward_only,True,False,11.0,15.0,0.0,13.8,-0.5,9,b9e17ded3d59f4b7536754b67db7411c
14,14,lagrange,False,False,-256.0,508.0,5.4979995638132095,506.8,4.9979995638132095,256,409471d91ee448605709177b9a007e67
14,14,reward_only,True,False,-61.0,139.0,23.733685463666916,137.8,23.233685463666916,81,409471d91ee448605709177b9a007e67
15,15,lagrange,False,False,-256.0,508.0,0.0,506.8,-0.5,256,416adaceb1c8e37492236a7c78bbf1da
15,15,reward_only,False,False,-256.0,376.0,16.28545763087459,374.8,15.785457630874589,256,416adaceb1c8e37492236a7c78bbf1da
16,16,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,ce97758a551a7d014b07b864ecb2a378
16,16,reward_only,True,False,-103.0,199.0,35.14669571071863,197.8,34.64669571071863,123,ce97758a551a7d014b07b864ecb2a378
17,17,lagrange,True,False,15.0,9.0,8.623220697045326,7.8,8.123220697045326,5,0d8f1df1a1699573533f99287baadc24
17,17,reward_only,True,False,13.0,11.0,8.623220697045326,9.8,8.123220697045326,7,0d8f1df1a1699573533f99287baadc24
18,18,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,b600543fc70bd34b795094719be11015
18,18,reward_only,True,False,-182.0,322.0,46.13004411570728,320.8,45.63004411570728,202,b600543fc70bd34b795094719be11015
19,19,lagrange,True,False,16.0,6.0,6.054246723651886,4.8,5.554246723651886,4,4e1638b5e4c5077b29907a783486076e
